_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_one,choose_one:confidence,choose_one_gold,predicted,text_no_rt,tweet
204690712,false,finalized,4,10/6/2012 03:35:03,Informative (Direct or Indirect),0.5133,,Informative (Indirect),Cruuuuud. Tornado warning for Denton County. And the TV isn't working. And the Dallas news sites aren't helpful. Cruuuuud.,Cruuuuud. Tornado warning for Denton County. And the TV isn't working. And the Dallas news sites aren't helpful. Cruuuuud.
204690713,true,golden,129,10/6/2012 03:25:33,Informative (Indirect),0.4781,Informative (Indirect),Informative (Indirect),Tornado WARNING for Tarrant county. Storm spotters were reporting a funnel cloud but the heavy rain has wrapped around the suspected area.,Tornado WARNING for Tarrant county. Storm spotters were reporting a funnel cloud but the heavy rain has wrapped around the suspected area.
204690714,false,finalized,6,10/5/2012 09:43:16,Informative (Direct or Indirect),1.0,,Informative (Indirect),Tornado on the ground in Azle headed right toward TMS,RT @AmandaSalinas: Tornado on the ground in Azle headed right toward TMS
204690715,true,golden,125,10/6/2012 03:25:33,Informative (Indirect),0.6346,Informative (Indirect),Informative (Indirect),US tornado toll rises to 122 (AFP) http://dlvr.it/StLMD,US tornado toll rises to 122 (AFP) http://dlvr.it/StLMD
204690716,false,finalized,3,10/6/2012 03:02:15,Informative (Indirect),1.0,,Informative (Indirect),US tornado toll rises to 122 (AFP) http://dlvr.it/StLMh,US tornado toll rises to 122 (AFP) http://dlvr.it/StLMh
204690717,false,finalized,3,10/5/2012 19:44:43,Informative (Direct),0.6378,,Informative (Indirect),Tornado sirens. This is scary.,Tornado sirens. This is scary.
204690718,false,finalized,3,10/3/2012 13:15:32,Personal only,0.6803,,Informative (Indirect),Sitting in shelter waiting to see if the tornado hits my house. #anxious #scared,Sitting in shelter waiting to see if the tornado hits my house. #anxious #scared
204690719,false,finalized,3,10/4/2012 02:28:16,Informative (Indirect),1.0,,Informative (Indirect),US: Joplin Mo. tornado had more than 1 vortex http://fxn.ws/k50jUl,US: Joplin Mo. tornado had more than 1 vortex http://fxn.ws/k50jUl
204690720,false,finalized,3,10/5/2012 01:09:15,Informative (Indirect),0.6755,,Informative (Indirect),Tornado reported 2 miles west of Azle TX. This is to the northwest of Ft. Worth. Radar warning... h ...,RT @rolandsmartin: RT @TWCBreaking Tornado reported 2 miles west of Azle TX. This is to the northwest of Ft. Worth. Radar warning... h ...
204690721,false,finalized,3,10/3/2012 17:22:01,Personal only,0.6334,,Informative (Indirect),Whew that was close. A few broken windows but otherwise survived the tornado.  Now to pick up debris for the rest of the evening.,Whew that was close. A few broken windows but otherwise survived the tornado.  Now to pick up debris for the rest of the evening.
204690722,false,finalized,4,10/5/2012 05:08:48,Informative (Direct or Indirect),0.4733,,Informative (Indirect),This is a serious situation for the DFW Metro. If you know anyone in the central to northern subs have them take c ...,RT @TWeatherFanatic: This is a serious situation for the DFW Metro. If you know anyone in the central to northern subs have them take c ...
204690723,false,finalized,3,10/5/2012 01:13:09,Informative (Direct or Indirect),1.0,,Informative (Indirect),#Joplin stats: 124 people confirmed dead 750 treated at hospitals about 1500 still unaccounted for; approx 8000 stru ...,RT @CNNLADavid: #Joplin stats: 124 people confirmed dead 750 treated at hospitals about 1500 still unaccounted for; approx 8000 stru ...
204690724,false,finalized,4,10/5/2012 04:06:51,Informative (Indirect),0.4884,,Informative (Indirect),Tornado Warning for Coal County in OK until 8:30pm CDT. #okwx,RT @severewarn: Tornado Warning for Coal County in OK until 8:30pm CDT. #okwx
204690725,false,finalized,3,10/5/2012 23:56:33,Informative (Indirect),0.7008,,Informative (Indirect),Holy Hell... Before & after photo of the #Joplin tornado: http://bit.ly/iwqNmq - via @tamarlevine @andyfortson,RT @rob_sheridan: Holy Hell... Before & after photo of the #Joplin tornado: http://bit.ly/iwqNmq - via @tamarlevine @andyfortson
204690726,false,finalized,3,10/5/2012 18:03:06,Informative (Direct or Indirect),1.0,,Informative (Indirect),Damaging wind threat coming into Tulsa OK #tornado #okwx,RT @JimCantore: Damaging wind threat coming into Tulsa OK #tornado #okwx
