_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_one,choose_one:confidence,choose_one_gold,id,retweetcount,screenname,text,userid
191082764,false,finalized,3,8/12/2012 13:24:55,Caution and advice,1.0,,74943468706873200,0,1stJoshRobinson,"Yesterday was supposed to be 70 and sunny/cold and rain. Today was supposed to be 90 and sunny, guess what? Tornado warning #FUCKTOLEDOOHIO",85940638
191082765,false,finalized,4,8/12/2012 13:38:35,Information source,0.4896,,74301096193040304,0,jenr8rluvsJesus,@fox12weather re: tornado. I live in Vancouver. That must be why I heard thunder (or a freight train) around that time this afternoon.,46529360
191082766,false,finalized,3,8/12/2012 13:29:09,"Donations of money, goods or services",1.0,,77764430137536400,1,ABC_Plastics, @TippingPointSEO: please follow my friends @RebuildJoplinMO They do a great job at providing valuable info for donors and victims of  ...,145273867
191082767,false,finalized,3,8/12/2012 13:36:39,Casualties and damage,1.0,,77449750374395904,2,IvanTheTurrible,"My house was blown away by a tornado, but a famous person just 'd something about my town. Who needs a house?",33371804
191082768,false,finalized,3,8/12/2012 13:11:03,Caution and advice,0.6423,,76134461049274304,0,BadAssNigerian, @Juss2Live: News was goin crazy about tornado  warnings n it didn even rain ! -__- - shit was wild over in CT . 4 ppl died,50420551
191082769,false,finalized,3,8/12/2012 13:36:39,"Donations of money, goods or services",0.6985,,73047761146216400,1,LegendofJames, @ztdrew78: Heading to #joplin wit the #jimbakkershow to help the #tornado victims... Help us #jesus !,146489187
191082770,false,finalized,3,8/12/2012 13:34:58,"Donations of money, goods or services",1.0,,72724954772279200,62,kim_hodo," @kcredcross: Holding emergency blood drive from 2-7 p.m. at GKC Chapter, 211 W. Armour Blvd., KCMO. Join us in helping Joplin. #joplin",253814066
191082771,true,golden,3,8/12/2012 13:35:55,Caution and advice,1.0,Caution and advice,73159838426865600,36,DAWNOFNEWDAYS, @spann: Everybody on the campus of the University of Oklahoma should be in a tornado safe place now. #okwx,293761684
191082772,false,finalized,3,8/12/2012 13:15:28,Caution and advice,1.0,,73524373784498000,0,BelleTwigg,Almyra Arkansas tornado about to hit the ground,223656733
191082773,false,finalized,3,8/12/2012 13:24:16,"Donations of money, goods or services",1.0,,72728603892260800,21,knsstxs," @Kanrocksas: Help #Joplin Mo & Reading, Ks  PLS    @kcredcross To support text REDCROSS to 90999 or visit redcross.org",1357541
191082774,false,finalized,3,8/12/2012 14:12:13,"Donations of money, goods or services",0.6759,,78285458886492000,0,ChristyHomeMom,"Last tweet I promise, my good friend is funding relief in #joplin MO with her #Scentsy biz. http://j.mp/jc6LdX wanted to help share that .)",34660165
191082775,false,finalized,4,8/12/2012 14:13:46,Casualties and damage,0.7488,,74098675349073904,1023,DanielCrane81, @andersoncooper: I took this earlier. Cross still stands above destroyed church #Joplin http://yfrog.com/h2d7rgrj,195277911
191082776,true,golden,3,8/12/2012 13:31:23,Caution and advice,1.0,Caution and advice,73432425660825600,0,DJRyanScott,I hear the tornado sires going off now.  Buildings in downtown Kansas City being evacuated now! Tornado Warning.,14223196
191082777,false,finalized,3,8/12/2012 13:34:27,Casualties and damage,1.0,,73170219010494400,0,Jethro_Aryeh,Tornado is gone and woman is assessing the damage to her house and still can barely stand because of the wind.,115299036
191082778,true,golden,31,8/12/2012 14:12:04,Caution and advice,0.5882,Caution and advice,73564703317692400,0,willpublicmedia,"Tornado watch canceled for Douglas County, Coles County, & Moultrie County",42953808
