_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,how_many_injured_or_dead_if_people,people_or_infrastructure,people_or_infrastructure:confidence,what_infrastructure_was_damaged_if_infrastructure,category,how_many_injured_or_dead_if_people_gold,id,people_or_infrastructure_gold,screenname,text,userid
197560956,true,golden,8,9/6/2012 12:48:30,"

house
house
n/a
n/a
n/a
","Infrastructure (building, bridge, road, etc.) damaged",0.7573,"house
house


n/a
n/a
n/a
house",Casualties and damage,,77449750374395904,"Infrastructure (building, bridge, road, etc.) damaged",IvanTheTurrible,"My house was blown away by a tornado, but a famous person just 'd something about my town. Who needs a house?",33371804
197560957,true,golden,7,9/6/2012 12:43:58,"
church

n/a
n/a
n/a
","Infrastructure (building, bridge, road, etc.) damaged",1.0,"Church

church
n/a
n/a
n/a
church",Casualties and damage,,74098675349073904,"Infrastructure (building, bridge, road, etc.) damaged",DanielCrane81, @andersoncooper: I took this earlier. Cross still stands above destroyed church #Joplin http://yfrog.com/h2d7rgrj,195277911
197560958,false,finalized,3,9/6/2012 13:12:49,"
n/a
","Infrastructure (building, bridge, road, etc.) damaged",1.0,"house
n/a
house",Casualties and damage,,73170219010494400,,Jethro_Aryeh,Tornado is gone and woman is assessing the damage to her house and still can barely stand because of the wind.,115299036
197560959,true,golden,4,9/6/2012 13:11:13,"
n/a

",Not specified (maybe people or infrastructure),1.0,"
n/a

",Casualties and damage,,78918229342420800,"Infrastructure (building, bridge, road, etc.) damaged
Both people and infrastructure
Not specified (maybe people or infrastructure)",akcanwjanitor, @WISCTV_News3: Weather Service Confirms to News 3 an EF1 Tornado did damage in Verona. We'll have more details online shortly.,90613781
197560960,true,golden,8,9/6/2012 13:15:43,"

n/a
n/a
n/a

n/a
",Not specified (maybe people or infrastructure),0.7281,"

n/a
n/a
n/a

n/a
",Casualties and damage,,73454719217045504,"Not specified (maybe people or infrastructure)
Not damage-related",ChristopherAbel,"After hearing the tornado sirens, Pastor Daniel just told all the staff to go hide downstairs... before leaving in his tiny red car...",14513905
197560961,true,golden,7,9/6/2012 13:12:20,"
n/a
n/a
n/a
n/a

",Not specified (maybe people or infrastructure),0.8449,"
n/a
n/a
n/a
n/a

",Casualties and damage,,78638855741374400,"Infrastructure (building, bridge, road, etc.) damaged
Both people and infrastructure
Not specified (maybe people or infrastructure)",DJSCUFFS,Driving.. it appears my area got hit the worst. Tornado in my backyard.. Next street over shut down w/ fire trucks and caution tape..,69347686
197560962,false,finalized,3,9/6/2012 13:09:48,"n/a

",Not specified (maybe people or infrastructure),1.0,"n/a

",Casualties and damage,,77079355364343808,,emilyroseartist, @velvetrasputin: The tornado damage in N. Minneapolis.   http://youtu.be/icvSJUWHHi0 -- damn... just glad my friends are all safe,24076368
197560963,false,finalized,3,9/6/2012 13:12:20,"
n/a
",Not specified (maybe people or infrastructure),1.0,"
n/a
",Casualties and damage,,73875018001563600,,badenusf,"We just passed some major tornado damage in Birmingham, AL",290005692
197560964,true,golden,6,9/6/2012 12:34:25,"134
134
134
134
134
134",People: dead,1.0,"

n/a

n/a
",Casualties and damage,134,76014668220600304,People: dead,rschallom," @stefkienstra: JOPLIN -- Gov. Jay Nixon announces zero people missing, 134 reported deceased. #JoplinTornado",20162581
197560965,true,golden,3,9/6/2012 13:07:44,"
n/a
",People: dead,0.3579,"
n/a
",Casualties and damage,,74914138601688800,People: dead,JD_Gaffle," @BreakingNews: Watch live: Memorial service for tornado victims in Joplin, Mo. http://on.msnbc.com/kpdG7A",22382549
