_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,intention,intention:confidence,type_of_donation,type_of_donation:confidence,what,where,who,category,id,intention_gold,screenname,text,type_of_donation_gold,userid,what_gold,who_gold
197558630,false,finalized,3,9/8/2012 19:09:12,Invites/asks people to donate/provide/give/do something,0.6791,"Other, or not specified",1.0,"

please follow my friends","JoplinMO

JoplinMO","RebuildJoplinMO

n/a","Donations of money, goods or services",77764430137536400,,ABC_Plastics, @TippingPointSEO: please follow my friends @RebuildJoplinMO They do a great job at providing valuable info for donors and victims of  ...,,145273867,,
197558631,true,golden,8,9/8/2012 22:36:09,Reports that something has been donated/provided/given/done,0.5286,"Other, or not specified",0.7387,"help
help
help
help
to help the #tornado victims...

help
help","joplin
#joplin
joplin
joplin
#joplin

joplin
joplin","jimbakkershow
#jimbakkershow
@ztdrew78
jimbakkershow
@ztdrew78 #jimbakkershow

n/a
jimbakkershow","Donations of money, goods or services",73047761146216400,Reports that something has been donated/provided/given/done,LegendofJames, @ztdrew78: Heading to #joplin wit the #jimbakkershow to help the #tornado victims... Help us #jesus !,"Money
Volunteers/work
Food
Other, or not specified",146489187,,
197558632,true,golden,18,9/8/2012 22:19:59,Invites/asks people to donate/provide/give/do something,0.7252,Blood,1.0,"emergency blood drive
blood
blood drive
emergency blood
Holding emergency blood drive
blood
blood drive
blood
blood
emergency blood drive
blood drive
emergency blood drive

blood

Emergency blood drive
blood
blood","Joplin
GKC Chapter, 211 W Amour Blvd., KCMO
GKC Chapter, 211 W. Armour Blvd., KCMO
GKC Chapter, 211 W. Armour Blvd., KCMO
KC Chapter, 211 W. Armour Blvd., KCMO.
211 W. Armour Blvd.
211 W. Armour Blvd.
GKC Chapter, 211 W. Armour Blvd., KCMO
GKC Chapter, 211 W. Armour Blvd., KCMO
Joplin
211 W. Armour Blvd.
211 W. Armour Blvd.

Joplin

Joplin. MO
GKC Chapter, 211 W. Armour Blvd., KCMO.
211 W. Armour Blvd., KCMO","kcredcross

@kcredcross
GKC Chapter
@kcredcross
redcross
redcross

@kcredcross, GKC Chapter
Join us

redcross

kcredcross



","Donations of money, goods or services",72724954772279200,Invites/asks people to donate/provide/give/do something,kim_hodo," @kcredcross: Holding emergency blood drive from 2-7 p.m. at GKC Chapter, 211 W. Armour Blvd., KCMO. Join us in helping Joplin. #joplin",Blood,253814066,,
197558633,true,golden,15,9/8/2012 18:28:45,Invites/asks people to donate/provide/give/do something,1.0,"Other, or not specified",0.6237,"Help
support
support
To support text REDCROSS to 90999 or visit redcross.org
text

Help

To support text REDCROSS to 90999
support
text REDCROSS to 90999 or visit redcross.org

text REDCROSS to 90999
To support text REDCROSS
Help","redcross.org
Joplin Mo
redcross.org
#Joplin Mo & Reading, Ks
Joplin Mo & Reading
Joplin Mo
REDCROSS to 90999 or visit redcross.org

N/A
Joplin Mo & Reading



Joplin Mo
Joplin Mo & Reading, Ks","@kcredcross
REDCROSS
#Joplin Mo & Reading, Ks PLS @kcredcross
@Kanrocksas:

redcross

REDCROSS
Help #Joplin Mo & Reading
REDCROSS




n/a","Donations of money, goods or services",72728603892260800,Invites/asks people to donate/provide/give/do something,knsstxs," @Kanrocksas: Help #Joplin Mo & Reading, Ks  PLS    @kcredcross To support text REDCROSS to 90999 or visit redcross.org","Money
Other, or not specified",1357541,,
197558634,true,golden,12,9/8/2012 07:30:42,Reports that something has been donated/provided/given/done,0.8451,Money,0.6656,"funding
relief

her #Scentsy biz
funding relief
funding relief
funding relief
relief

funding relief

funding relief","#Scentsy biz
joplin MO

joplin MO
#Scentsy biz
joplin MO
joplin MO
joplin MO

in #joplin MO

","good friend
friend

my good friend
#Scentsy biz
my good friend
my good friend
my good friend Scentsy biz.

my good friend

my good friend","Donations of money, goods or services",78285458886492000,Reports that something has been donated/provided/given/done,ChristyHomeMom,"Last tweet I promise, my good friend is funding relief in #joplin MO with her #Scentsy biz. http://j.mp/jc6LdX wanted to help share that .)","Money
Discount (rebate/special offer)
Other, or not specified",34660165,,
197558635,true,golden,14,9/8/2012 22:17:34,Invites/asks people to donate/provide/give/do something,0.4781,Volunteers/work,0.581,"helping
helping
helping a family hit by tornado.
helping a family hit by tornado
helping a family hit by tornado.
helping a family hit by tornado

helping a family hit by tornado

helping a family hit by tornado


helping
help","5310 S Western
5310 S Western
5310 S Western
5310 S Western
5310 S Western
5310 S Western
5310 S Western
5310 S Western       by the driveway on west side of road
5310 S Western
5310 S Western come join us/ look for the orange tshirt by the driveway on west side of road


5310 S Western
5310 S Western","@DaneMiodov
@DaneMiodov
@DaneMiodov
come join us
DaneMiodov
us

DaneMiodov

@DaneMiodov


us
DaneMiodov","Donations of money, goods or services",73542786128940800,"Invites/asks people to donate/provide/give/do something
Reports that something has been donated/provided/given/done
Both (invites and reports)",codychaloner, @DaneMiodov helping a family hit by tornado. 5310 S Western come join us/ look for the orange tshirt by the driveway on west side of road,"Money
Volunteers/work
Other, or not specified",14815018,,
197558636,false,finalized,3,9/8/2012 08:02:32,Invites/asks people to donate/provide/give/do something,1.0,"Other, or not specified",0.6748,"donate

Please donate to www.joplintornadoreliefforb","Joplin, MO
Joplin, MO
","

","Donations of money, goods or services",73909224010293200,,theresamax," @BFleschman: @kurt13warner a friend who lost everything in recent tornado in Joplin, MO. Please donate to www.joplintornadoreliefforb ...",,247744426,,
197558637,true,golden,13,9/8/2012 21:38:59,Invites/asks people to donate/provide/give/do something,0.6285,"Other, or not specified",0.752,"a great project

great project
great project I've started for all the tornado victims.

great project
great project
a great project




a minute","

http://tinyurl.c ...


n/a
tornado victims
N/A




","BlaineGabbert
@BlaineGabbert
BlaineGabbert
@BlaineGabbert
Everyone
Everyone
@BlaineGabbert:
I've started
BlaineGabbert



Everyone","Donations of money, goods or services",75631765326270400,"Invites/asks people to donate/provide/give/do something
None of the above",Byramerica, @BlaineGabbert: Everyone please take a minute to check out a great project I've started for all the tornado victims. http://tinyurl.c ...,"Other, or not specified",66578033,,
197558638,true,golden,7,9/8/2012 18:55:29,Reports that something has been donated/provided/given/done,0.7327,"Other, or not specified",1.0,"great initiative
support

support


support","Joplin
#Joplin
Joplin
Joplin


Joplin","asaHQ
you
@asaHQ
you & @getsomegreek


you & @getsomegreek","Donations of money, goods or services",73438944930435008,"Reports that something has been donated/provided/given/done
None of the above",nicfraternity,@asaHQ that's a great initiative to support #Joplin! Hats off to you & @getsomegreek.,"Other, or not specified",22089103,,
197558639,true,golden,21,9/8/2012 22:17:34,Invites/asks people to donate/provide/give/do something,0.8242,"Other, or not specified",0.8999,"help, need
okhelp  okneed
submit your #okhelp and #okneed

#okhelp and #okneed
#okhelp and #okneed




tornado








okhelp and #okneed
your #okhelp and #okneed","Crowdmap
http://oktornado.crowdmap.com/reports/submit
Crowdmap: http://oktornado.crowdmap.com/reports/submit


ok




ok







OK
oktornado
Crowdmap","your

your

#okwx
#oktornado #okwx




Crowdmap








n/a
you","Donations of money, goods or services",73393567820816304,Invites/asks people to donate/provide/give/do something,okicemap,Please submit your #okhelp and #okneed on our Crowdmap: http://oktornado.crowdmap.com/reports/submit #oktornado #okwx Please ,"Volunteers/work
Other, or not specified",109097315,,
197558640,true,golden,6,9/8/2012 06:16:09,Invites/asks people to donate/provide/give/do something,0.5093,"Other, or not specified",0.8447,"
music sampler
Want to help promote?


a music sampler","
STL
SongsForJoplin

Joplin
","@docmisterio
docmisterio
@docmisterio:

docmisterio
@docmisterio","Donations of money, goods or services",74944171378606000,"Invites/asks people to donate/provide/give/do something
Reports that something has been donated/provided/given/done
Both (invites and reports)",sarahcnewberry," @docmisterio: Hey #STL, I'm putting together a music sampler for #Joplin called #SongsForJoplin. Want to help promote? Help some othe ...","Volunteers/work
Other, or not specified",20819269,,
197558641,true,golden,17,9/8/2012 15:46:03,Reports that something has been donated/provided/given/done,0.8867,"Other, or not specified",0.6522,"
helping disabled
helping disabled tornado survivors
donating medical equipment



medical equipment


helping
helping disabled tornado survivor
helping disabled tornado survivors

helping

","


Joplin, Missouri



Joplin




N/A



","Invacare
Invacare
Invacare
Invacare Corporation
Invacare


Invacare
Invacare
Invacare
Invacare
Invacare
Invacare
Invacare
Invacare

Invacare","Donations of money, goods or services",73452162247688000,Reports that something has been donated/provided/given/done,clevelandnews1,Invacare helping disabled tornado survivors http://tf.to/sYf9,"Money
Equipment (machine/generator/pump/etc.)
Shelter
Volunteers/work
Food
Other, or not specified",221336366,,Invacare
197558642,true,golden,7,9/8/2012 05:43:32,Invites/asks people to donate/provide/give/do something,0.8656,Money,0.563,"Txt REDCROSS to 90999, or online

help
a donation
work
Txt REDCROSS to 90999, or online: http://bit.ly/eZJDoJ
","Joplin
Joplin
#Joplin, other states
Joplin & other states
Joplin
#Joplin
","RedCross

@RedCross
You can help
RedCross
@RedCross
","Donations of money, goods or services",72880873460084704,Invites/asks people to donate/provide/give/do something,baabybre," @RedCross: You can help us respond in #Joplin &continue our work in other states. Txt REDCROSS to 90999, or online: http://bit.ly/eZJDoJ","Money
Other, or not specified",81749522,,
197558643,true,golden,7,9/8/2012 07:13:10,Reports that something has been donated/provided/given/done,1.0,"Other, or not specified",0.5708,"quilts
quilts
getting quilts
getting quilts
will be getting quilts
will be getting quilts
","Joplin, MO
Joplin, Mo
Joplin, Mo
Joplin, Mo.
Joplin, Mo.
Tornado survivors in Joplin, Mo.
","shop in Victor
Tornado survivors
Tornado survivors
from shop
shop in Victor
from shop in Victor
","Donations of money, goods or services",78073578213486400,Reports that something has been donated/provided/given/done,KatieBea," @tpmedia: Tornado survivors in Joplin, Mo., will be getting quilts from shop in Victor http://t.co/TvLmg4j","Other, or not specified",61923237,"quilts from shop in Victor
quilts from shop
quilts
quilts from shop in Victor http://t.co/TvLmg4j
http://t.co/TvLmg4j","shop in Victor
shop"
