declarationType,incidentType,disasterName,disasterNumber,incidentBeginDate,incidentEndDate,stateCode,stateName
Emergency,Hurricane,TROPICAL STORM GITA,3397,2018-02-07,2018-02-12,AS,American Samoa                
Emergency,Hurricane,HURRICANE MARIA,3390,2017-09-16,2017-09-22,VI,Virgin Islands of the U.S.    
Major Disaster,Flood,SEVERE STORMS AND FLOODING,4352,2017-10-04,2017-10-06,NM,New Mexico                    
Emergency,Hurricane,HURRICANE IRMA,3388,2017-09-04,2017-10-04,FL,Florida                       
Emergency,Hurricane,HURRICANE NATE,3395,2017-10-07,2017-10-11,FL,Florida                       
Emergency,Hurricane,TROPICAL STORM NATE,3392,2017-10-05,2017-10-08,LA,Louisiana                     
Major Disaster,Hurricane,HURRICANE HARVEY,4332,2017-08-23,2017-09-15,TX,Texas                         
Major Disaster,Flood,FLOODING,4348,2017-05-02,2017-08-06,NY,New York                      
Emergency,Hurricane,HURRICANE IRMA,3384,2017-09-05,2017-09-07,PR,Puerto Rico                   
Major Disaster,Flood,FLOODING,4327,2017-06-07,2017-06-22,WY,Wyoming                       
Major Disaster,Severe Storm(s),SEVERE WINTER STORM,4302,2017-01-03,2017-01-05,CA,California                    
Major Disaster,Flood,FLOODING,4342,2017-03-29,2017-06-15,ID,Idaho                         
Major Disaster,Severe Storm(s),"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4328,2017-01-07,2017-01-10,OR,Oregon                        
Major Disaster,Severe Storm(s),"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",4303,2017-01-05,2017-01-14,NV,Nevada                        
Major Disaster,Hurricane,HURRICANE IRMA - SEMINOLE TRIBE OF FLORIDA,4341,2017-09-04,2017-10-04,FL,Florida                       
Major Disaster,Severe Storm(s),"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",4307,2017-02-05,2017-02-22,NV,Nevada                        
Major Disaster,Fire,WILDFIRES,4344,2017-10-08,2017-10-31,CA,California                    
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4334,2017-07-19,2017-07-23,IA,Iowa                          
Major Disaster,Flood,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",4308,2017-02-01,2017-02-23,CA,California                    
Emergency,Hurricane,HURRICANE NATE,3394,2017-10-06,2017-10-10,AL,Alabama                       
Major Disaster,Flood,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS AND FLOODING",4317,2017-04-28,2017-05-11,MO,Missouri                      
Major Disaster,Fire,"WILDFIRES, FLOODING, MUDFLOWS, AND DEBRIS FLOWS",4353,2017-12-04,2018-01-31,CA,California                    
Major Disaster,Hurricane,HURRICANE IRMA,4336,2017-09-05,2017-09-07,PR,Puerto Rico                   
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4318,2017-04-26,2017-05-19,AR,Arkansas                      
Major Disaster,Severe Storm(s),SEVERE STORM,4351,2017-09-28,2017-09-30,AK,Alaska                        
Emergency,Fire,WILDFIRES,3396,2017-12-04,2017-12-29,CA,California                    
Major Disaster,Severe Storm(s),FLOODING,4312,2017-02-08,2017-02-11,CA,California                    
Major Disaster,Hurricane,HURRICANE NATE,4349,2017-10-06,2017-10-10,AL,Alabama                       
Emergency,Hurricane,HURRICANE IRMA,3385,2017-09-04,2017-10-18,FL,Florida                       
Major Disaster,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4313,2017-03-06,2017-03-28,ID,Idaho                         
