,tweet_text,permalink
1,in the wake of hurricane michael  we understand the importance of knowing where to find aid  for storm recovery resources  please visit the following link      ,https://twitter.com/LakesideBexley/status/1050898882526371842
7,hurricane michael leaves friends  relatives searching for thousands of people   miami herald   ,https://twitter.com/nohumanillegal/status/1050898807544864775
11,sorry  folks  we are located in tallahassee florida and were hit by hurricane michael    pic twitter com  izjgduxxu,https://twitter.com/therussophile/status/1050898753190862850
13,short work trip to atl was fast and furious  thankfully  the hurricane avoided us   hurricanemichael  atl  atlanta  lightposts  symmetry  vsco  vscocam  rain  trees    ,https://twitter.com/Noblerthanyou/status/1050898746404470785
15,o all victims of hurricane michael  alive or no more  my hope and prayers will go out to all of you  cling onto hope and don t give in ,https://twitter.com/MisterKidneys/status/1050898709913964544
16,sorry folks  we are located in tallahassee florida and were hit by hurricane michael    ,https://twitter.com/therussophile/status/1050898645414014976
17,i liked a  video  hurricane michael causes the unthinkable    ,https://twitter.com/Flutttershy03/status/1050898645195853824
36,i liked a  video  a message from president trump on hurricane michael,https://twitter.com/wonderwomancan/status/1050898318782533632
40, widespread  catastrophic damage   every building at tyndall afb totaled by hurricane michael   ,https://twitter.com/stjohn45/status/1050898256639811585
42, devastated beyond words   panama city the day after hurricane michael   ,https://twitter.com/docuvixen/status/1050898216131198976
